parameter,direction,status,welfare_distribution_shift,total_system_cost,total_generation_MWh,curtailment_MWh,avg_electricity_price
baseline,baseline,ok,0.0,2687954494.503755,549037987.0592543,80116889.47765993,32.371151341067176
Renewable production - wind,low,ok,6.756044198311329e-05,2942804076.695993,549049647.5697807,71744213.35118923,33.28211381417355
Renewable production - wind,high,ok,0.00034069022027618964,2448344745.808474,549029771.0479966,88651631.06433105,30.059737715415395
